ObservedAgentID;ContractID;InstrumentID;DefaultStatusOfTheInstrumentICR;DateOfTheDefaultStatusOfTheInstrumentICR;DateOfICRPastDueAmount;DateOfICRPastDueAmountNEV;ICRPastDueAmount;ICRPastDueAmountNEV;ExigibilityStatus;DateOfExigibilityStatus;DateOfExigibilityStatusNEV;RegularisationStatus;DateOfRegularisationStatus;DateOfRegularisationStatusNEV;UseOfCommitmentAmount
444555999;220-00-03950-09;220000000000;1;2017-06-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03951-10;220000000000;1;2017-06-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03952-11;220000000000;1;2018-02-15;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03954-13;51242571;1;2018-03-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03955-14;51233982;1;2018-03-12;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03957-16;220000000000;2;2023-09-07;2023-07-01;;3119,11;;-5;;-5;2;;0;-5
444555999;220-00-03958-17;220000000000;1;2018-06-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03960-19;220000000000;1;2018-07-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03961-20;220000000000;1;2018-08-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03962-21;220000000000;1;2018-09-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03963-22;220000000000;1;2018-09-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03964-23;220000000000;1;2018-11-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03966-25;220000000000;1;2018-12-12;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03967-26;220000000000;1;2018-12-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03968-27;220000000000;1;2019-01-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03969-28;220000000000;1;2019-01-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03970-29;220000000000;1;2019-02-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03971-30;220000000000;1;2019-03-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03972-31;220000000000;1;2019-04-11;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03973-32;220000000000;1;2019-05-09;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03974-33;220000000000;1;2019-05-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03975-34;52238237;1;2019-06-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03976-35;220000000000;1;2019-09-17;;;;0;-5;;-5;0;;0;-5
